smiles,FishAT,DMAT,AlgAT,FishCT,DMCT,AlgCT,group
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,1,,,,,,train
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0,,,,,,valid
OCC(O)CO,0,,,,,,train
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,1,,,,,,train
C=CCN=C=S,1,,,,,,train
CCCCCCCCCCCCCCCC[N+](C)(C)C,1,,,,,,train
NC(N)=O,0,,,,,,test
CN(C)N,1,,,,,,train
CC(C)(O)C(Cl)(Cl)Cl,0,,,,,,train
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,1,,,,,,train
CCCC(C)C1(CC)C(=O)N=C(O)NC1=O,1,,,,,,train
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1,,,,,,valid
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,1,,,,,,train
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,1,,,,,,train
Cn1c(=O)c2c(ncn2C)n(C)c1=O,0,,,,,,train
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1,,,,,,train
CC1=CC(=O)c2ccccc2C1=O,1,,,,,,test
c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,1,,,,,,train
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,1,,,,,,train
CCOc1cc(NC(C)=O)ccc1C(=O)OC,1,,,,,,train
Cc1cc(O)ccc1Cl,1,,,,,,train
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,1,,,,,,valid
c1ccc(CC2=NCCN2)cc1,0,,,,,,train
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0,,,,,,train
Nc1ccc(N=Nc2ccccc2)cc1,1,,,,,,train
CC(N)Cc1ccccc1,1,,,,,,train
OCCS,1,,,,,,test
CCOCC,0,,,,,,train
CNN,1,,,,,,train
CC(N)=O,0,,,,,,train
CNC(=O)CSP(=S)(OC)OC,1,,,,,,train
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,1,,,,,,valid
Cc1cccc(Nc2ccccc2C(=O)O)c1C,1,,,,,,train
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,1,,,,,,train
Nc1nc[nH]n1,0,,,,,,train
Nc1ccccc1,1,,,,,,train
CC(N)=S,0,,,,,,test
COP(=O)(OC)OC=C(Cl)Cl,1,,,,,,train
O=C(O)CF,1,,,,,,train
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,1,,,,,,train
CNC(=O)Oc1cccc2ccccc12,1,,,,,,train
CNC(=O)Oc1cccc(C(C)C)c1,1,,,,,,valid
CCO,0,,,,,,train
CC(=O)O,0,,,,,,train
